epoch,step,train_loss,train_mse,val_loss,val_mse
0,49,1.004600366727168e+16,,,
0,99,1.2914024987492352e+16,,,
0,149,3.430211296358826e+19,,,
0,199,2.0650252151291904e+16,,,
0,201,,,5.480022577684414e+18,5.480022577684414e+18
0,201,,3.998972718488748e+18,,
1,249,1.1932088201113502e+19,,,
1,299,1.3542957449740288e+16,,,
1,349,1.8404747471172403e+17,,,
1,399,1.6698527904169984e+16,,,
1,403,,,5.480022577684414e+18,5.480022577684414e+18
1,403,,3.9989743677561897e+18,,
2,449,9556420345200640.0,,,
2,499,3.0095236340182417e+19,,,
2,549,3996050725535744.0,,,
2,599,2.7156298676043776e+16,,,
2,605,,,5.480022577684414e+18,5.480022577684414e+18
2,605,,3.998972718488748e+18,,
3,649,1.015172965597184e+16,,,
